,0
0,"The people that organized this would also think it&#39;s a good idea allow palestinian fans be next to israel fans, or russian alongside ukranians. <br><br>What in the world were they thinking."
1,"These are two national teams that should have more security measures. In the pasts, they have instances of violence resulting in injuries or even death. Most of these who paid the price weâ€™re Argentinian fans and players. FIFA should know better when having fixtures involving rival national teams. If they play another match together, you might as well get the SWAT or even the national guard to do crowd control."
2,"Every Brazil x Argentina match ends like this, no matter what is the hosting country, always been like this for the last 50 years, they just can&#39;t have a single peaceful match"
3,that&#39;s why mexicans hate Argentinans so muchğŸ˜‚
4,Argentina &quot;took care&quot; of you
5,thats what you get for racism
6,I&#39;m really disappointed with Brazil&#39;s police.
7,POLICE ARE HATING THE WINNERS
8,Batak sial dorang ni ğŸ˜‚
9,"Argentinos sÃ£o baderneiros e racistas, por isso apanharam. Eles precisam aprender a respeitar as pessoas, principalmente quando estÃ£o num paÃ­s que nÃ£o Ã© o deles."
10,ğŸ¤£LOL
11,"Showing bad behavior to Argentina is very rude for Brazil. I didn&#39;t think that Brazil, who love to support the world of football, would do this? Messi seems to respect and love his fans very much. Argentinians who are united. I saw Messi&#39;s fans being beaten. I feel very sorry for the Argentines. ğŸ˜¢â¤"
12,People might have to conceal their emotions when sitting with rival fans.
13,Common thing in Brazil
14,Those police are thirsty for blood. Kind of psychotic actually.
15,Imagine three seconds later you hear gunshotsğŸ’€
16,Brazil did this on purpose. Argentinian fans were surrounded by Brazilian. So the blame fall Brazil.
17,"Argentinians are ALWAYS the problem...if you don&#39;t believe me, look at the Final game of Libertadores in 2018, between Boca and River Plate, both Argentinian teams. The violence got so out of hand, that they had to transfer the final game all the way to Spain, so Argentinian hooligans could not afford to travel there.<br>And every time the Argentinians comes to Brazil, their fans are always into street provocations, stupid chants,  and of course, starting fights for no reason whatsoever.  And on the top of that they behave like at home, where they have no respect for the police, and no following the rules.<br>So, they could do us a favor, and never set foot again in our country, since all they bring is trouble. No wonder their country in an eternal economic crisis for the last 50 years. It&#39;s a bunch of hooligans running it."
18,"Don&#39;t generalize Brazil, just the police, the whole of Brazil is not to blame for this attitude, don&#39;t generalize Brazil."
19,the level of uncivilized poor countries
20,ğŸš€â¤ï¸âœ¨â›½ğŸ”¥
21,Sometimes its undercovers  who start riots just for innocent people to end up killed.
22,I wish for Argentina to go play in Mexico and act like this boyyyyyyy that would be a dream come true since they are the most racist country  in Latin America and they think they are so tuff wen in reality they ain&#39;t plz come play in Mexico  see how tough y&#39;all really are  plzzzzz
23,Why
24,I am Brazilian I saw the entire moment..
25,NBC NEWS don&#39;t lie with your subtitles it was the BRAZILIAN POLICE that started it all.
26,&quot;Brasil isn&#39;t for beginners&quot;!  Go Brasil!
27,Anyone notice the coked out police officer ?
28,Why aren&#39;t we talking about the racist terms commonly used by Argentines against Brazilians and it even ended up in social media trend topics?<br>â€‹
29,NBC FAKE NEWS <br>TRUMP 2024 âœï¸
30,USA can&#39;t afford to host any matches
31,"La.policia brasilera es brutal. Les han pegado a todos los hinchas y equipos sudamericanos que juegan de vsitante. Leo a los moralistas que dicen no saben comportarse, no entienden nada.."
32,Brazil was looking for a conflict to either suspend the game and playing on so other time when their national team stop sucking or forcing FIFA to punish Argentina  with some point deductions.  The organizers know they should not put those fan together but they did it anyway.
33,"If this is what they do on camera, imagine what they do in the shadows. ACAB"
34,Argentinian are racists
35,What World Cup itâ€™s every 4 yers
36,Awesome
37,Brazilian fans/police are always an issue no matter who they play or where they do. Theyâ€™re an issue that needs to be addressed
38,"Same government, same police state= criminals"
39,The brazilian police set this up every single time an Argentinian team goes to Brasil with no consequence to them . There were women in children in the stands.
40,ğŸ‡§ğŸ‡·ğŸ‡§ğŸ‡·ğŸ‡§ğŸ‡·ğŸ‡§ğŸ‡·
41,ACAB
42,"I have no respect for <a href=""http://www.youtube.com/results?search_query=%23brazilians"">#Brazilians</a> specially the <a href=""http://www.youtube.com/results?search_query=%23soccerteam"">#soccerteam</a> all they do is worry about their stupid dance moves ğŸ˜¡ğŸ˜¡"
43,"As expected, Brazil is an uncivilized country."
44,Shame on brazil
45,Asia
46,Indonesian
47,Fifa
48,Indonesia stadion Kanjuruhan Malang
49,Full paisa wasool ğŸ˜…ğŸ˜…
50,Wkwkwkwkwkw
51,ğŸ¤¬ğŸ¤¬ğŸ¤¬ğŸ¤¬ğŸ¤¬ğŸ¤¬
52,"Argetntine fans donâ€™t know how to act. They are classless, arrogant, and violent. They went into someoneâ€™s backyard and started the fight, what did they expect would happen?"
53,"The Brazilian police are the most embarrassing police force in the world, they don&#39;t know manners and ethics.<br><br>Less professionalğŸ˜¢ğŸ˜¢ğŸ˜¢"
54,"Se vierem fazer baderna vao tomar mesmo, bando de arruaceiros."
55,"Brazilians and Argentines have hated each other for decades, I don&#39;t know why they still come together, if the rivalry between the two countries is public knowledge. This rivalry, not only in football, but in other areas such as politics"
56,Is this Israel-Palestine?
57,What did they expect was going to happen when two arch rivals would be allowed in the same block and not in separate blocks like usually.
58,Fifa need to take action on the organisers and the security should be suspended
59,Shame on Brazil security.... Only targeted argentina...
60,.?
61,This is an embarrassment for Brazil
62,The people of Brasil need to be sent back to Africa they are a joke of a country.
63,The cops were beating the crap out of everyone in their path.
64,Brazil is a fourth world country
65,Argentina has the most unruly fans. I bet you they were to blame.
66,imagine the poor people trapped because of the actions of dumb fans
67,achei pouco pra paÃ­s racista ğŸ¤­
68,Que vergÃ¼enza de policÃ­as.
69,"No entiendo como los pusieron juntos... <br><br>Eso no se hace! EstÃ¡n 10 a 1 y para colmo despuÃ©s la policÃ­a les pega...<br><br>Y si fuera al revÃ©s? O si les hacemos lo mismo cuando vengan de visitantes? No es la soluciÃ³n, pero molesta la falta de empatia brasilera."
70,THE UNEXPECTED HAPPENED
71,Thatâ€™s why they should separate rival fans.
72,Eso es algo normal de las dos hinchadas querido norteamÃ©rica ğŸ‡ºğŸ‡¸ haci son los juegos de fÃºtbol en sudamerica ğŸŒ y seguimos siendo los campeones ğŸ‡¦ğŸ‡·
73,Seems to me that the police were only beating the Argentinian fans
74,What !<br>No red cards ? ğŸŸ¥
75,Shame on Brazil. Proud of Argentina.
76,Ban brazil for 5year..
77,â­ï¸â­ï¸â­ï¸â­ï¸â­ï¸
78,ğŸ‡§ğŸ‡·ğŸ¤ğŸ»ğŸ‡¦ğŸ‡·â™¥ï¸
79,Why this happened?
80,Argentine fans call Brazil fans monkeys. Brazil fans booed the Argentina national anthem. Fight broke out.
81,Faltou gÃ¡s larcrimogÃªnio e balas de borracha ğŸ˜ğŸ‘
82,Braz &amp; Arg &gt;&gt; Europe
83,Police ğŸ˜¡
84,And you thought Eagles &amp; Dodgers games were bad.
85,"&quot;HEALTHY COMPETITION* is a lie and a <b>STUPID HUMAN TRICK</b> to train you fools/fans for wars, from early childhood. And the masses are clueless, brainwashed into US and THEM. Our colors/flag vs theirs. Divide and <del>Conquer</del> control. Wake up! fans.."
86,Wait did Brazil get disqualified?
87,Maybe try to behave with class and you won&#39;t get beaten by the police?
88,The Argentinian fans were going after the brazilian players family members
89,Brazil military police is wild. Don&#39;t even stare at them<br>There were people crippled for life after Brazil world cup.
90,This makes our stadium brawls at NFL games here in the U.S. look chickensh*t.
91,A complete set up for the communist police to just bash people. This is what socialism looks like
92,Police shame ğŸ˜®
93,Give football it&#39;s dignity. Thats not the spirit of football.. In foot ball people come to have fun not to fight.
94,People just canâ€™t behave in public anywhere.
95,Peaceful fans spread peace
96,Shame on Brazilian police
97,Why is it when police show up things escalate? Violence Gets worse!
